naive	form
ENSMUSG00000103889	0.0102172787297499	0.0839158179193796
ENSMUSG00000101301	0	0
ENSMUSG00000104221	0	0.0665780573951211
ENSMUSG00000102250	0.0212749660823789	0.233277596880907
ENSMUSG00000102317	0.0197398798206432	0.167968948182621
ENSMUSG00000103563	0	0.190666277319801
ENSMUSG00000102465	0.00926232210122605	0.0677955394658659
ENSMUSG00000102659	0	0.102735514284039
ENSMUSG00000103924	0.0102355825921014	0.38811393134539
ENSMUSG00000104132	0.029623433441186	0.480778382060825
ENSMUSG00000102747	0.00501032861699252	0.372248760602541
ENSMUSG00000102386	0.0672657834580711	0.429286807703197
ENSMUSG00000103004	0	0.865114861755694
ENSMUSG00000104516	0	0
ENSMUSG00000101618	0	0
ENSMUSG00000099458	0	0
ENSMUSG00000088111	0	0
ENSMUSG00000073722	0	0
ENSMUSG00000095256	0	0
ENSMUSG00000100310	0	0
ENSMUSG00000101514	0	0
ENSMUSG00000101033	0	0
ENSMUSG00000101372	0.0368197317241094	0.0511688441804401
ENSMUSG00000103241	0	0
ENSMUSG00000086240	0.603240224379759	0.339656132232302
ENSMUSG00000048411	0	0.010659525041433
ENSMUSG00000081557	0.132748026922372	0.149126814915249
ENSMUSG00000058590	0	0
ENSMUSG00000101235	0	0
ENSMUSG00000064433	0	0
ENSMUSG00000080625	0	0
ENSMUSG00000080391	0	0
ENSMUSG00000099257	0	0
ENSMUSG00000099492	0.25754680419858	0.122640580415634
ENSMUSG00000118548	0	0
ENSMUSG00000101726	0	0
ENSMUSG00000096829	0	0
ENSMUSG00000098883	0	0
ENSMUSG00000053185	0	0
ENSMUSG00000100261	0.038489174209968	0.0242870382937688
ENSMUSG00000101180	0	0
ENSMUSG00000048874	19.1682795128262	19.309168430437
ENSMUSG00000103783	1.43038343273185	1.52373832303226
ENSMUSG00000104315	1.89526981684133	2.18625355300373
ENSMUSG00000026064	0.974638435779087	1.04396309178016
ENSMUSG00000117310	0.046343756858672	0.05384708635521
ENSMUSG00000117091	0.719559260249465	0.865376272360991
ENSMUSG00000086726	0	0.0940772223888346
ENSMUSG00000086727	0.137573633216679	0.321920476201445
ENSMUSG00000100237	0	0
ENSMUSG00000098529	0	0
ENSMUSG00000100910	0	0
ENSMUSG00000099796	0	0
ENSMUSG00000050217	0	0
ENSMUSG00000026063	0	0
ENSMUSG00000077664	0	0
ENSMUSG00000100205	0	0
ENSMUSG00000100592	0	0
ENSMUSG00000094215	0.331609230500639	1.01525497168092
ENSMUSG00000101093	0	0
ENSMUSG00000070960	0.13253717634661	0.12485461029849
ENSMUSG00000088620	0	0
ENSMUSG00000082159	0	0
ENSMUSG00000026058	0.00534503706416165	0.0612567816578599
ENSMUSG00000064688	0	0
ENSMUSG00000103482	0	0.016245061545307
ENSMUSG00000104498	0	0
ENSMUSG00000104313	0	0.0199184781842182
